ward,price
Abbey,1032.0
Abbey Road,1848.5714285714287
Abingdon,2058.0
Acton Central,1250.0
Addiscombe East,900.0
Addiscombe West,900.0
Addison,1300.0
Aldborough,950.0
Aldgate,1733.0
Askew,1314.3333333333333
Avonmore and Brook Green,1492.0
Balham,1300.0
Barkingside,950.0
Barnhill,1200.0
Barnsbury,1571.0
Bassishaw,4570.0
Bayswater,2135.0
Bedfont,2100.0
Bedford,1560.0
Bellingham,1000.0
Belmont,950.0
Belsize,1950.0
Belvedere,900.0
Bensham Manor,1500.0
Berrylands,950.0
Bethnal Green,1165.6666666666667
Billingsgate,2578.0
Blackheath Westcombe,1282.6666666666667
Blackwall & Cubitt Town,1267.2222222222222
Bloomsbury,2796.3
Boleyn,1150.0
Borough & Bankside,2825.2
Botwell,1317.5
Bounds Green,1200.0
Bow East,1538.25
Bow West,737.0
Brentford,1302.5
Brixton Hill,1842.0
Broad Green,1256.4285714285713
Brockley,1100.0
Bromley Common and Keston,1087.5
Bromley North,1195.6666666666667
Bromley South,1075.0
Brompton & Hans Town,2078.5
Brondesbury Park,1894.0
Brooklands,950.0
Brownswood,1623.5
Bruce Grove,1225.0
Bryanston and Dorset Square,1640.1333333333334
Bunhill,2071.1666666666665
Bush Hill Park,1000.0
Caledonian,1537.3333333333333
Camberwell Green,1257.0
Camden Town with Primrose Hill,2017.5555555555557
Canary Wharf,2009.2857142857142
Canning Town North,1375.0
Canning Town South,1368.5555555555557
Cantelowes,1395.0
Catford South,995.0
Cavendish,1300.0
Cazenove,1473.0
Champion Hill,1200.0
Charlton,1175.0
Chelsea Riverside,1516.6666666666667
Childs Hill,1330.0
Chingford Green,1100.0
Chiswick Homefields,1420.4
Chiswick Riverside,1400.0
Church Street,1411.4
Churchill,2566.0
Clapham Common,1483.0
Clapham Town,1718.75
Clementswood,1244.0
Clerkenwell,1841.5
Cleveland,1125.0
Clissold,1601.0
Cockfosters,1101.0
Coldharbour and New Eltham,900.0
Colindale,1393.75
Colliers Wood,1000.0
Colville,1628.5
Coombe Vale,1050.0
Copers Cope,900.0
Coppetts,1000.0
Cordwainer,3239.5
Coulsdon Town,650.0
Courtfield,2231.75
Cranbrook,1250.0
Cranford,1050.0
Cray Valley West,550.0
Cricket Green,900.0
Cripplegate,2275.0
Crofton Park,1150.0
Crouch End,1126.6
Crystal Palace,887.5
Custom House,1123.5
Dalgarno,1408.5
Dalston,1590.0
De Beauvoir,1800.0
Dollis Hill,1196.0
Dudden Hill,903.5
Dulwich Hill,1325.0
Dulwich Village,1550.0
Dulwich Wood,1150.0
Ealing Broadway,1454.7142857142858
Ealing Common,1325.0
Earl's Court,1832.5714285714287
East Acton,1060.0
East Barnet,1075.0
East Finchley,1200.0
East Ham North,1100.0
East Ham South,1050.0
East Putney,1315.0
East Sheen,1150.0
Eltham South,1100.0
Eltham West,1372.5
Enfield Lock,1037.5
Evelyn,1495.1
Fairfield,1232.8181818181818
Falconwood & Welling,950.0
Farnborough and Crofton,850.0
Farringdon Without,2231.6666666666665
Feltham West,997.0
Ferndale,1696.0
Figge's Marsh,925.0
Finchley Church End,1100.0
Finsbury Park,1441.25
Forest,1000.0
Forest Gate North,1200.0
Fortis Green,1100.0
Fortune Green,1502.3333333333333
Frognal and Fitzjohns,1647.6
Fryent,1330.0
Fulham Broadway,1582.0
Furzedown,1236.5
Garden Suburb,1499.0
Gascoigne,1096.0
Gipsy Hill,1352.0
Glyndon,900.0
Golborne,1616.6666666666667
Goodmayes,1003.3333333333334
Goose Green,1300.0
Goresbrook,850.0
Grange,975.0
Graveney,1185.0
Greenhill,1839.8
Greenwich West,1450.2222222222222
Grove Green,900.0
Hackney Central,1406.0
Hackney Downs,1275.0
Hackney Wick,1325.0
Haggerston,1422.5
Hale End and Highams Park,925.0
"Ham, Petersham and Richmond Riverside",1222.5
Hammersmith Broadway,1885.0
Hampstead Town,1593.0
Hampton Wick,1200.0
Hanger Hill,675.0
Harlesden,1248.0
Harringay,1348.3333333333333
Harrow Road,1454.6666666666667
Haverstock,1675.0
Headstone North,1050.0
Headstone South,1016.6666666666666
Heathrow Villages,2531.0
Herne Hill,1450.6666666666667
Heston East,1075.0
Higham Hill,1095.0
Highbury East,1853.5
Highbury West,1432.3333333333333
Highgate,1475.0
Highlands,1065.0
Hillrise,1200.0
Hillside,1300.0
Hoe Street,1147.6666666666667
Holborn and Covent Garden,2156.0
Holland,1955.8333333333333
Holloway,1857.6666666666667
Hornsey,1050.5
Hounslow Heath,1050.0
Hounslow South,1050.0
Hoxton East & Shoreditch,1545.2
Hoxton West,1989.0
Hyde Park,2399.25
Ickenham,1100.0
Island Gardens,937.5
Junction,1782.0
Kelsey and Eden Park,997.5
Kensal Green,1100.0
Kentish Town,1655.0
Kew,1475.0
Kilburn,1552.6666666666667
King's Cross,1466.3333333333333
Knightsbridge and Belgravia,3542.5
Ladywell,1200.0
Lancaster Gate,2314.1428571428573
Lansbury,1353.75
Larkhall,1500.0
Latchmere,1484.5
Lavender Fields,1100.0
Lea Bridge,1300.0
Lewisham Central,1275.0
Leytonstone,610.0
Little Venice,1939.0
London Bridge & West Bermondsey,1655.6666666666667
London Fields,1950.0
Longlands,650.0
Maida Vale,1300.0
Manor Park,900.0
Mapesbury,982.5
Markhouse,950.0
Marlborough,1100.0
Marylebone High Street,2546.4444444444443
Mawneys,1000.0
Mildmay,1522.5
Mile End,1402.5
Monkhams,900.0
Mortlake and Barnes Common,1249.0
Munster,2079.5
Muswell Hill,1364.0
New Cross,1480.0
Nightingale,1391.0
Norbury & Pollards Hill,1000.0
North Bermondsey,2020.75
North End,4867.0
North Richmond,1355.0
North Walworth,1795.6
Northolt Mandeville,1150.0
Northolt West End,1100.0
Northumberland Heath,800.0
Northumberland Park,1125.0
Northwood Hills,950.0
Notting Dale,1874.25
Oakleigh,1112.5
Old Kent Road,1300.0
Oval,1781.0
Peckham Rye,1400.0
Pembridge,1689.8
Penge and Cator,950.0
Peninsula,1730.6666666666667
Perivale,1350.0
Plaistow North,1225.0
Plaistow and Sundridge,950.0
Poplar,1450.0
Preston,950.0
Prince's,2253.0
Queen's Gate,2564.0
Queen's Park,1278.0
Queenstown,2356.6153846153848
Ravenscourt Park,1884.3333333333333
Raynes Park,1380.0
Redcliffe,1961.857142857143
Regent's Park,1788.1904761904761
River,950.0
Rotherhithe,1731.125
Roxbourne,1125.0
Royal Docks,1360.4444444444443
Royal Hospital,2054.8
Sands End,2012.7272727272727
Selsdon & Addington Village,1000.0
Seven Sisters,1075.0
Shacklewell,1863.0
Shadwell,1684.0
Shaftesbury,1452.0
Shepherd's Bush Green,1464.6666666666667
Shirley North,900.0
Shortlands,1074.5
South Acton,1124.0
South Bermondsey,1279.0
South Croydon,806.25
South Norwood,850.0
South Richmond,1597.5
South Ruislip,1075.0
South Twickenham,1200.0
South Woodford,1100.0
Southall Broadway,900.0
Southall Green,950.0
Southbury,1050.0
Southfield,1392.0
Southfields,1373.75
Southgate,1100.0
Spitalfields & Banglatown,1949.5
Squirrel's Heath,850.0
St Ann's,691.5
St Dunstan's,1339.0
St George's,1917.5
St Helier,1150.0
St James's,2665.5
St Katharine's & Wapping,1891.0
St Leonard's,1047.0
St Margarets and North Twickenham,4429.0
St Mark's,1162.5
St Mary's,2037.0
St Mary's & St James,1250.0
St Mary's Park,1884.4285714285713
St Pancras and Somers Town,2004.0
St Peter's,1583.5
St. Helen's,3683.0
Stamford Hill West,1250.0
Stanley,2516.714285714286
Stepney Green,1350.0
Stockwell,2070.6666666666665
Stoke Newington,1200.0
Stonebridge,950.0
Stratford and New Town,1470.2
Streatham Hill,1286.5
Streatham South,1100.0
Streatham Wells,1150.0
Stroud Green,1195.4
Surbiton Hill,1043.75
Surrey Docks,1162.0
Sutton Central,1035.3333333333333
Sutton South,1025.0
Swiss Cottage,1946.6
Sydenham,1050.0
Syon,1425.0
Tachbrook,2632.5
Teddington,1037.5
Telegraph Hill,1175.0
Thamesfield,1669.0
Thamesmead East,975.0
Tokyngton,1968.4285714285713
Tollington,1272.0
Tooting,1275.0
Tottenham Green,1150.0
Totteridge,1300.0
Tower,1798.0
Town,1170.0
Turnham Green,1499.4
Twickenham Riverside,1322.5
Underhill,1150.0
Vassall,1575.5
Vincent Square,1997.8
Wallington North,900.0
Wallington South,925.0
Walpole,2000.0
Wandsworth Common,1484.0
Wanstead Village,1025.0
Warwick,2094.8
Weavers,1990.0
Welsh Harp,1100.0
West End,2559.285714285714
West Ham,2728.5
West Hampstead,1408.0
West Harrow,1088.888888888889
West Hill,1150.0
West Putney,1400.0
West Ruislip,1050.0
West Thornton,925.0
West Wickham,975.0
Westbourne,1813.0
White Hart Lane,1150.0
Whitechapel,1774.1666666666667
Willesden Green,1546.0
William Morris,1200.0
Wimbledon Park,1150.0
Woodberry Down,1559.0
Woodside,1102.5
Woolwich Common,1172.5
Woolwich Riverside,1117.0
Worcester Park,1148.0
Wormholt and White City,720.0
